Date,Occupancy,Arrivals,Departures,Presences,Revenue,RevPar,ADR
29/07/14,175,68,55,538,126667.25,688.41,745.1
30/07/14,157,48,112,474,109462.06,601.44,724.91
31/07/14,158,42,49,467,110474.23,603.68,703.66
01/08/14,164,78,52,493,134223.89,741.57,823.46
02/08/14,172,93,71,515,126914.86,693.52,742.19
03/08/14,164,69,96,488,127706.44,705.56,783.48
04/08/14,162,61,67,482,121735.47,668.88,756.12
05/08/14,170,81,57,506,124293.23,686.7,735.46
06/08/14,176,83,44,545,139736.96,763.59,803.09
07/08/14,178,60,53,552,138749.44,754.07,783.9
08/08/14,182,43,36,559,140629.48,764.29,785.64
09/08/14,175,111,132,538,135850.12,742.35,785.26
10/08/14,170,54,67,525,128378.42,701.52,759.64
11/08/14,178,70,36,559,139224.93,760.79,782.16
12/08/14,169,54,76,537,132997.8,722.81,786.97
13/08/14,170,56,60,533,135608.68,741.03,797.7
14/08/14,173,71,59,545,137613.11,751.98,795.45
15/08/14,177,47,21,571,136009.23,739.18,768.41
16/08/14,180,107,105,573,132354.97,719.32,739.41
17/08/14,176,34,57,550,129073.91,701.49,737.57
18/08/14,175,75,89,536,123272.89,669.96,708.46
19/08/14,178,35,25,546,121590.76,660.82,686.95
20/08/14,174,67,77,536,119101.99,650.83,692.45
21/08/14,176,54,47,543,119935.31,651.82,697.3
22/08/14,175,52,61,534,121710.07,665.08,715.94
23/08/14,173,120,120,534,115494.95,638.09,679.38
24/08/14,168,50,67,517,115280.94,629.95,698.67
25/08/14,170,61,57,521,117468.43,652.6,707.64
26/08/14,167,55,74,502,115190.05,643.52,702.38
27/08/14,163,40,73,469,108640.27,606.93,687.6
28/08/14,164,57,60,466,107620.12,594.59,676.86
29/08/14,175,69,45,490,118595.78,655.23,697.62
30/08/14,148,49,134,405,95830.13,529.45,670.14
31/08/14,112,14,134,285,72573.3,400.96,665.81
01/09/14,51,70,250,105,69945.23,382.21,1398.9
02/09/14,96,153,28,230,395744.55,2150.79,4165.73
03/09/14,175,322,59,493,230072.91,1257.23,1314.7
04/09/14,183,39,1,531,232877.09,1265.64,1272.55
05/09/14,178,6,32,505,232877.09,1272.55,1315.69
06/09/14,53,44,426,123,241433.05,1312.14,4642.94
07/09/14,93,175,81,217,25532.01,140.29,286.88
08/09/14,119,94,33,278,35118.88,194.03,310.79
09/09/14,119,39,29,288,33895.85,187.27,299.96
10/09/14,133,55,29,314,38757.7,211.79,315.1
11/09/14,135,49,38,325,39119.45,214.94,310.47
12/09/14,139,66,56,335,43337.76,239.44,330.82
13/09/14,147,72,64,343,42651.84,234.35,311.33
14/09/14,114,36,122,257,32773.29,180.07,309.18
15/09/14,122,88,57,288,37317.72,206.18,318.95
16/09/14,130,58,52,294,38785.87,217.9,323.22
17/09/14,128,51,66,279,36497.47,202.76,299.16
18/09/14,151,128,62,345,47308.63,273.46,330.83
19/09/14,156,65,57,353,55531.84,317.32,375.22
20/09/14,164,69,37,385,58824.84,332.34,374.68
21/09/14,126,72,166,291,50237.09,282.23,411.78
22/09/14,104,34,83,242,29981.37,167.49,299.81
23/09/14,112,45,23,264,-12134.55,-67.79,-113.41
24/09/14,105,36,48,252,33375.77,187.5,327.21
25/09/14,135,79,61,270,39298.09,235.32,311.89
26/09/14,124,80,83,267,38371.71,223.09,330.79
27/09/14,125,71,70,268,39620.29,225.12,324.76
28/09/14,85,42,116,194,24632.4,144.9,296.78
29/09/14,78,21,47,168,23503.0,137.44,326.43
30/09/14,81,35,32,171,23252.24,135.19,305.95
01/10/14,74,37,56,152,28949.95,167.34,425.73
02/10/14,124,206,77,281,63768.76,362.32,545.03
03/10/14,173,156,56,381,75927.27,419.49,441.44
04/10/14,176,24,20,385,77770.25,427.31,441.88
05/10/14,58,96,325,156,33613.25,193.18,589.71
06/10/14,63,33,37,152,19908.89,108.79,321.11
07/10/14,64,20,14,158,19462.54,111.85,324.38
08/10/14,103,83,19,222,29715.2,169.8,303.22
09/10/14,144,122,37,307,37594.14,206.56,286.98
10/10/14,148,80,70,317,36914.0,205.08,286.16
11/10/14,137,62,67,312,36753.38,204.19,278.43
12/10/14,56,48,218,142,18799.89,106.21,341.82
13/10/14,54,33,33,142,17991.74,104.6,339.47
14/10/14,54,21,15,148,18070.03,105.06,368.78
15/10/14,66,34,6,176,19668.07,109.27,327.8
16/10/14,74,40,35,181,20365.96,113.14,308.58
17/10/14,75,35,27,189,23716.25,131.03,348.77
18/10/14,83,79,63,205,26676.27,146.57,351.0
19/10/14,51,17,109,113,13923.3,76.5,284.15
20/10/14,175,230,82,261,66504.55,365.41,384.42
21/10/14,44,96,232,125,15601.83,87.16,390.05
22/10/14,52,27,11,141,15632.37,86.85,339.83
23/10/14,68,51,11,181,19182.02,107.16,319.7
24/10/14,97,85,21,245,29310.52,162.84,333.07
25/10/14,123,114,62,297,35775.82,198.75,308.41
26/10/14,145,108,74,331,31085.11,171.74,223.63
27/10/14,112,32,103,260,19082.94,108.43,181.74
28/10/14,139,68,53,275,20234.24,114.97,159.32
29/10/14,83,31,100,206,13590.74,77.22,169.88
30/10/14,66,50,81,175,16277.35,93.55,246.63
31/10/14,137,168,23,320,28179.69,165.76,208.74
01/11/14,137,64,79,305,28242.72,160.47,209.21
02/11/14,37,12,245,72,5661.68,33.3,182.63
03/11/14,30,16,29,59,4133.02,24.6,153.07
04/11/14,47,40,31,68,5321.95,30.24,123.77
05/11/14,100,76,11,133,11839.43,67.27,123.33
06/11/14,115,102,88,147,15699.48,95.15,161.85
07/11/14,66,19,67,99,5671.77,34.37,120.68
08/11/14,80,117,47,169,10473.23,66.71,158.69
09/11/14,24,4,128,45,1328.75,8.15,60.4
10/11/14,30,20,15,50,4826.23,29.61,166.42
11/11/14,24,8,19,39,9545.68,55.5,397.74
12/11/14,21,4,10,33,2204.13,13.61,104.96
13/11/14,23,4,2,35,2497.91,15.42,113.54
14/11/14,31,20,3,52,3900.56,24.23,125.82
15/11/14,38,41,28,65,4781.55,34.65,129.23
16/11/14,41,26,35,56,5053.34,36.35,126.33
17/11/14,60,32,14,74,8257.84,51.29,137.63
18/11/14,60,35,37,72,7096.56,41.26,120.28
19/11/14,38,6,31,47,3707.11,21.55,102.98
20/11/14,43,9,2,54,5219.66,32.62,127.31
21/11/14,41,38,23,69,4091.5,25.57,104.91
22/11/14,32,30,31,68,3696.66,23.1,119.25
23/11/14,15,10,53,25,1638.48,10.71,109.23
24/11/14,16,8,11,22,1188.98,7.77,99.08
25/11/14,45,42,9,55,2012.86,13.07,87.52
26/11/14,33,4,17,42,123.5,0.8,6.5
27/11/14,26,1,10,33,751.59,4.88,50.11
28/11/14,29,11,4,40,1500.32,10,83.35
29/11/14,32,18,10,48,2175.67,14.13,98.89
30/11/14,13,11,33,26,1472.14,9.56,147.21
01/12/14,5,3,20,9,572.0,4.18,143.0
02/12/14,6,6,4,11,770.91,5.39,154.18
03/12/14,9,8,8,11,281.45,2.05,140.73
04/12/14,18,17,2,26,838.0,5.82,76.18
05/12/14,17,16,9,33,8005.46,55.98,500.34
06/12/14,64,127,4,156,7363.12,51.49,120.71
07/12/14,44,29,86,99,4979.82,38.9,118.57
08/12/14,6,0,90,9,568.5,4.51,94.75
09/12/14,0,0,9,0,-121.41,-0.96,0.0
10/12/14,0,0,0,0,0.0,0,0.0
11/12/14,0,0,0,0,0.0,0,0.0
12/12/14,0,0,0,0,0.0,0,0.0
13/12/14,0,0,0,0,0.0,0,0.0
14/12/14,0,0,0,0,0.0,0,0.0
15/12/14,0,0,0,0,0.0,0,0.0
16/12/14,0,0,0,0,180.0,1.08,0.0
17/12/14,0,0,0,0,0.0,0,0.0
18/12/14,0,0,0,0,0.0,0,0.0
19/12/14,0,0,0,0,-363.27,-1.99,0.0
20/12/14,0,0,0,0,0.0,0,0.0
21/12/14,0,0,0,0,0.0,0,0.0
22/12/14,0,0,0,0,12718.91,69.5,0.0
23/12/14,13,29,0,29,2591.73,14.16,199.36
24/12/14,23,25,6,48,2702.32,14.77,117.49
25/12/14,29,22,8,62,6086.42,33.26,209.88
26/12/14,39,40,16,86,8354.33,46.16,214.21
27/12/14,56,46,8,124,11155.4,64.48,199.2
28/12/14,63,59,38,145,11064.51,63.96,184.41
29/12/14,69,34,22,157,12866.44,74.37,201.04
30/12/14,86,89,37,209,16661.01,96.87,200.74
31/12/14,131,157,6,360,22232.26,132.33,179.29
